day,Ts_Valor
07-13-2019,9.712499999999999
07-14-2019,9.799999999999999
07-15-2019,4.321739130434782
07-16-2019,6.456521739130436
07-17-2019,11.575000000000001
07-18-2019,6.741666666666667
07-19-2019,8.958333333333334
07-20-2019,8.478260869565219
07-21-2019,7.1521739130434785
07-22-2019,2.641666666666667
07-23-2019,4.17391304347826
07-24-2019,2.1999999999999997
07-25-2019,3.3375000000000004
07-26-2019,9.112499999999999
07-27-2019,4.954166666666666
07-28-2019,6.7625
07-29-2019,11.687500000000002
07-30-2019,12.358333333333334
07-31-2019,9.904347826086957
08-01-2019,9.737499999999999
08-02-2019,4.579166666666667
08-03-2019,2.4869565217391307
08-04-2019,2.645833333333333
08-05-2019,5.875
08-06-2019,8.858333333333334
08-07-2019,4.475
08-08-2019,5.508333333333333
